"",".rownames","arrest94","variet90c","agree90c","totimp90c","cpstot90",".fitted",".se.fit",".resid",".hat",".sigma",".cooksd",".std.resid"
"1","1",1,-1.35,1.03,2.6962928891385,-1.95588596541622,1.74769166636486,0.61954454831442,-0.747691666364855,0.0664780707439415,2.42106953506966,0.00147719477313393,-0.322052698013112
"2","2",0,-1.35,0.66636363636364,-5.78167466397627,-7.03966021616776,0.497519853323065,0.456821950799065,-0.49751985332306,0.0361432545128277,2.42226651635129,0.000333569572823193,-0.210897209863074
"3","4",8,-1.35,0.48454545454545,6.54669244306274,-0.174275882688691,2.67851964524947,0.627305376344793,5.32148035475053,0.0681539995716857,2.31444480829159,0.0769894657686191,2.29417770193505
"4","5",0,-1.35,0.575454545454551,-4.79190587746553,-8.41213682351531,0.598919144471487,0.489373247095906,-0.598919144471485,0.0414776149314515,2.42185568026233,0.0005609303909377,-0.254585538074671
"5","6",4,5.65,-1.69727272727273,8.25977812827507,9.5121053338737,4.75149814018057,0.850389715761473,-0.751498140180569,0.125247575177867,2.4209058633593,0.00320197664780043,-0.334389010773286
"6","7",6,-1.35,-1.78818181818182,-4.78435233071597,8.4815517561659,2.93299579642215,0.929444255500222,3.06700420357785,0.149616683258782,2.38416541093891,0.0674128403758981,1.38411976210262
"7","8",3,2.65,-1.78818181818182,11.8328423989668,3.16763632370153,4.88273900507584,0.94871017447477,-1.88273900507584,0.155883606223872,2.40843372576867,0.0268620614386173,-0.852816543567387
"8","9",1,7.65,-0.33363636363636,5.2304936263251,-6.16940028978693,2.65073510810737,1.06461044530938,-1.65073510810737,0.196297502277121,2.4112781295741,0.02868416665625,-0.766295707714782
"9","10",0,-1.35,0.39363636363636,-4.82175362891396,-5.40996954066643,0.877118134822133,0.407922685084473,-0.877118134822132,0.0288196726203913,2.42039277938028,0.000814270674322128,-0.370403273316182
"10","11",0,-1.35,1.12090909090909,-5.57086636925453,-7.21175400640287,0.263033509105654,0.52357949661837,-0.263033509105652,0.0474786749783711,2.42291077964967,0.000125410718690629,-0.112160616838185
"11","12",5,1.65,-0.424545454545449,6.34938596511567,-3.15849055043441,2.99598636380021,0.603381430913844,2.00401363619979,0.063054663019308,2.40812745559787,0.00999202170925968,0.861608965106611
"12","13",0,-1.35,0.84818181818182,-5.80971879924293,-7.33268575596856,0.37501300005079,0.476442255848559,-0.375013000050789,0.0393146009940362,2.42265279506109,0.000207514028606128,-0.159229082232344
"13","14",5,-1.35,0.84818181818182,-9.80798217221326,-9.16076786504829,-0.275500401260847,0.606084132026416,5.27550040126085,0.0636208043423072,2.31688754574291,0.069949769494929,2.26884300937938
"14","15",0,-1.35,-0.424545454545449,-9.12067880115013,5.22496579797644,1.39284925750852,0.790465706667777,-1.39284925750852,0.108217972884238,2.41554459349964,0.009144364338883,-0.613820548901373
"15","16",0,-1.35,1.57545454545455,4.19629537587273,-3.11987146317639,1.57699643906286,0.854080338229517,-1.57699643906285,0.126337062860504,2.41318902839514,0.0142582984255344,-0.702142757352855
"16","17",0,1.65,-0.33363636363636,3.03371268963622,9.28105810949687,3.24831686285995,0.656440698193673,-3.24831686285995,0.0746318702906503,2.38295280724147,0.0318548339825144,-1.40529590765208
"17","18",0,-1.35,-0.69727272727273,-2.91798836684905,3.99243186196966,2.30800832193712,0.518691789777889,-2.30800832193711,0.0465963689413309,2.40354501425433,0.00945881075154767,-0.983706709393551
"18","19",2,-1.35,0.575454545454551,5.95107940796845,3.07232915526257,2.74348724436378,0.681972132928002,-0.743487244363776,0.080550192966841,2.42106132110047,0.00182440351605644,-0.322683064579303
"19","20",0,-1.35,0.39363636363636,-4.85142587072179,-0.723654507417931,1.15595749870992,0.438062207778378,-1.15595749870992,0.0332357055768822,2.41832608469959,0.00164592770420981,-0.489269596635975
"20","21",0,-1.35,0.48454545454545,-7.91077560083669,-3.29464753564127,0.536938801621668,0.506479158890249,-0.536938801621667,0.0444279716819407,2.42210942468795,0.000485895113127788,-0.22859132176506
"21","22",2,0.65,-1.15181818181818,3.85556242532522,3.28636410407671,3.44581910755715,0.545257341682461,-1.44581910755715,0.0514915981900794,2.41544487776867,0.0041442433633526,-0.617817253933852
"22","23",1,-0.35,-0.15181818181818,-5.35420854963313,-4.58050456235886,1.16470113049036,0.487559068312988,-0.164701130490362,0.0411706576874297,2.42306587606013,4.20786363016703e-05,-0.0699991209329649
"23","24",0,-0.35,0.575454545454551,-6.10025102174342,-7.39234663566019,0.490068067148254,0.48099893576334,-0.490068067148253,0.0400702044895675,2.42228966280611,0.000361758502884031,-0.208162901476215
"24","25",0,-1.35,0.575454545454551,-5.17343031134194,-4.75885136493402,0.767872486814656,0.412082688184571,-0.767872486814655,0.0294104769649466,2.42103928693816,0.000637635380803536,-0.324367976303857
"25","26",0,-0.35,-0.33363636363636,5.16569473120918,2.42427018514167,3.10978514001771,0.432446952292771,-3.1097851400177,0.0323891096123068,2.38795516234894,0.0115883500463323,-1.31566909738904
"26","27",2,-0.35,0.48454545454545,4.05419592641099,-5.73815417737489,2.0123209662398,0.553123267124018,-0.0123209662397959,0.0529879579150159,2.42316426087132,3.1068410761235e-07,-0.00526906651199981
"27","28",0,-1.35,-0.24272727272727,-6.91127461910169,-8.4083299460507,0.767460316697093,0.709831537105132,-0.767460316697092,0.0872657668147639,2.42090692026624,0.00213712739130389,-0.334310812192738
"28","29",0,-1.35,0.48454545454545,-4.89192717003152,-6.33326310244698,0.761394938959127,0.426905731112505,-0.761394938959126,0.0315643825400823,2.42107036189783,0.000675832520156496,-0.321989176061733
"29","31",5,-1.35,0.21181818181818,5.18862474797521,-9.23406892912444,2.09977410534236,0.842397358844346,2.90022589465764,0.122904368846348,2.38939031796332,0.0465479329938833,1.28876880654894
"30","32",12,0.65,-1.69727272727273,7.5992006824728,10.2397211742261,4.67437031763437,0.730304905140303,7.32562968236563,0.0923723012110511,2.20671331703468,0.208439261623147,3.20005729551191
"31","33",6,0.65,-0.69727272727273,8.03259109597665,5.48394044607361,3.89020525576058,0.52677243366557,2.10979474423942,0.0480595176598309,2.40675595440035,0.00817717987909309,0.899915997074305
"32","34",0,-1.35,-0.33363636363636,-2.84277355357658,2.04423341080641,1.99852001313855,0.422109682513756,-1.99852001313855,0.0308591497808233,2.40870834127429,0.0045455923277386,-0.844854099205015
"33","37",2,-0.35,-1.42454545454545,4.9789337056461,14.1973450502835,4.40132383294484,0.801620985072649,-2.40132383294484,0.11129393125441,2.40036526952494,0.0281462134942146,-1.06007922191378
"34","38",6,-1.35,-0.78818181818182,-2.1801615034064,15.7665796612795,3.16884981331543,1.05016909356038,2.83115018668458,0.191008103945577,2.38826238752033,0.0810312599023681,1.30995834761294
"35","39",0,-0.35,0.21181818181818,4.01518657911908,2.06941674801961,2.62983415525406,0.447092645462244,-2.62983415525406,0.0346201049143103,2.39797898523939,0.00889921965076374,-1.11389922152619
"36","40",4,4.65,-0.97,4.80065045522496,5.63260158702301,3.63951957606068,0.659619966398499,0.360480423939317,0.0753565338176218,2.42267327097874,0.000396733613031877,0.156013146713374
"37","41",0,-1.35,0.66636363636364,-5.21153340317073,-9.18750967625842,0.44491160478982,0.515741618116027,-0.444911604789819,0.0460678225002879,2.42243899961468,0.000347115078012658,-0.189575254836325
"38","42",5,-0.35,-1.60636363636364,9.46376638890804,10.0552953483309,4.8582718224219,0.789433391552464,0.141728177578097,0.10793550117009,2.42308607009917,9.43729495715949e-05,0.0624488921770261
"39","43",1,-1.35,0.12090909090909,11.8213842827756,1.10714004963481,3.67055184390457,0.850017751083986,-2.67055184390457,0.125138031320024,2.39448507943626,0.0403901618457209,-1.18822287391482
"40","44",3,3.65,1.30272727272727,3.79994810953639,-6.07910670107801,1.52818665860417,0.840607148042872,1.47181334139583,0.122382546371783,2.41451691641939,0.0119227867398539,0.653832905213104
"41","45",7,-1.35,0.21181818181818,5.65262784695108,-6.83097339484149,2.30750402549418,0.74087642235616,4.69249597450582,0.0950659244691943,2.33651633060439,0.0885446106939693,2.05287308914717
"42","46",5,14.65,-0.60636363636364,10.7624552745209,3.61396162034031,4.18467149033893,1.75557515561615,0.815328509661066,0.533792146943136,2.4181728938432,0.0565511695927151,0.496946344305076
"43","47",10,-0.35,0.39363636363636,6.42087168231994,8.63847942597546,3.25030095885273,0.834538381255557,6.74969904114727,0.120621842500917,2.23464393257813,0.246153916802494,2.9954580064185
"44","48",6,0.65,-0.51545454545455,-4.2007049491676,2.62336764255523,1.96376505775531,0.518185794267249,4.03623494224469,0.0465055016720048,2.36265493555541,0.0288658366574864,1.72022005282363
"45","49",1,-0.35,0.93909090909091,-2.36710054255997,-5.3974588246952,0.912767486971398,0.461396457976825,0.0872325130286029,0.0368707388320031,2.42313718965847,1.04768994698002e-05,0.0369915695789561
"46","50",0,1.65,0.575454545454551,4.83602876363533,-0.625858040585077,2.38871082590697,0.537284098466002,-2.38871082590697,0.0499966956831793,2.40206728146216,0.0109491788510372,-1.01992370045141
"47","51",1,-1.35,1.57545454545455,-7.16128133934901,-7.82778899219364,-0.241598075967117,0.681842484675969,1.24159807596712,0.0805195694309263,2.41729424152651,0.00508559589826875,0.538860623845264
"48","53",0,-1.35,0.93909090909091,-3.45992659577756,-6.99288036450316,0.66247025030836,0.469693409602494,-0.662470250308359,0.0382086999303352,2.42156846445471,0.000627908924682619,-0.281120568130438
"49","54",2,1.65,-0.60636363636364,7.15194610826558,5.75379011676032,3.74335813568838,0.487846166922925,-1.74335813568838,0.0412191585541714,2.41205298545116,0.00472059754696644,-0.740958019899855
"50","55",2,-1.35,0.12090909090909,-3.37821028247772,-2.78772197523975,1.38196219660719,0.360023249335797,0.618037803392814,0.022448866760581,2.42179788560038,0.000310819930765746,0.260142891091108
"51","56",0,-1.35,0.39363636363636,-7.96421986297594,-5.70289301895891,0.434881823090297,0.500249058830974,-0.434881823090295,0.0433416946643378,2.42247333663653,0.000310240170670769,-0.185037391067295
"52","57",1,-1.35,0.93909090909091,-10.7147378088391,-6.51884003338831,-0.289065114896203,0.642998664718795,1.2890651148962,0.0716066687089712,2.41689702660248,0.00478192191355033,0.556769598540091
"53","58",0,-1.35,-0.0609090909090897,-7.09738669675689,-3.42288591291184,0.942186383555066,0.499107255619516,-0.942186383555065,0.0431440682691717,2.41991803909673,0.001448988564708,-0.400848451934192
"54","59",3,0.65,-0.0609090909090897,3.9234689708443,-4.23598574066435,2.39478043368167,0.496455010839791,0.605219566318332,0.042686753361525,2.42182629535843,0.000590981970094191,0.257426107420462
"55","60",0,-0.35,-0.69727272727273,-1.84366006507145,-3.11612276264467,2.03046752197497,0.571059197256925,-2.03046752197497,0.0564801171467365,2.40783447212367,0.00906043175803839,-0.869935758628431
"56","61",2,-1.35,-0.0609090909090897,-5.04211397145851,0.442036376813054,1.45313188711798,0.439414115696165,0.546868112882017,0.0334411601660345,2.42208246844036,0.00037081156208415,0.231491535884393
"57","62",1,0.65,0.30272727272727,-2.23473454886339,-2.65251757473492,1.45629669179783,0.360570470837929,-0.456296691797828,0.0225171614532069,2.42241976825186,0.000169962583086182,-0.192069945589605
"58","63",1,-1.35,-0.78818181818182,4.1585724691708,2.91968695453859,3.24984204491469,0.541289206635318,-2.24984204491469,0.0507448604375379,2.40444347577365,0.00987400922477412,-0.961008466625819
"59","64",0,-1.35,-0.24272727272727,-2.80852512544819,-7.63260732525095,1.36857368379455,0.648876673832007,-1.36857368379455,0.0729218456647699,2.41608879211467,0.00550458585943166,-0.591529863405756
"60","65",0,-1.35,-0.24272727272727,7.89814000864448,9.98320877657185,3.87829982355181,0.777236925826684,-3.87829982355181,0.104626134087891,2.36368404639225,0.0679950714985713,-1.70571252051201
"61","66",3,1.65,0.12090909090909,-3.78773442443683,0.594925208163655,1.54987677679248,0.522755681210548,1.45012322320752,0.0473293838279465,2.41543275589462,0.00379855526164047,0.618301338242267
"62","67",2,-1.35,0.39363636363636,3.49995917674442,-0.790290004532391,2.28023266850224,0.477220318716202,-0.280232668502237,0.0394431127201464,2.42287888137114,0.000116285575985422,-0.118993676001634
"63","68",0,1.65,0.84818181818182,-3.89867302551821,3.38561022399629,1.29919539250046,0.864143127407571,-1.29919539250046,0.129331611335424,2.4163752860216,0.00997496548654342,-0.579448372239937
"64","69",0,-1.35,0.0300000000000002,-5.10802288966427,-2.72891877942034,1.20232453947057,0.409290047009708,-1.20232453947057,0.0290132042416067,2.41795248457114,0.00154090474650814,-0.507787157668152
"65","70",2,-0.35,-0.87909090909091,-5.09285990818428,-2.45379613315506,1.73249854732328,0.671911571533393,0.267501452676719,0.0781911442775472,2.42289332089962,0.000228082219157913,0.115950431911434
